"","symbol","company","identifier","sedol","weight","sector","shares_held","local_currency","date","open","high","low","close","volume","adjusted"
"110","TMO","Thermo Fisher Scientific Inc.","88355610","2886907",0.00549756911481315,"Health Care",4021449,"USD",2021-02-23,460.880005,461.390015,453.049988,458.809998,2055400,458.809998
"111","TMO","Thermo Fisher Scientific Inc.","88355610","2886907",0.00549756911481315,"Health Care",4021449,"USD",2021-02-24,470.829987,473.359985,454.600006,456.660004,2426700,456.660004
"112","NKE","NIKE Inc. Class B","65410610","2640147",0.00520610969190281,"Consumer Discretionary",12732403,"USD",2021-02-22,141.539993,142.460007,136.259995,136.669998,8985900,136.3927
"113","NKE","NIKE Inc. Class B","65410610","2640147",0.00520610969190281,"Consumer Discretionary",12732403,"USD",2021-02-23,136.029999,136.830002,131.580002,136.130005,10364100,135.853806
"114","NKE","NIKE Inc. Class B","65410610","2640147",0.00520610969190281,"Consumer Discretionary",12732403,"USD",2021-02-24,135.059998,135.960007,133.949997,135.649994,6360900,135.374771
"115","LLY","Eli Lilly and Company","53245710","2516152",0.00500300009405981,"Health Care",8056240,"USD",2021-02-22,199.179993,201.610001,197.960007,200.679993,2263600,200.679993
"116","LLY","Eli Lilly and Company","53245710","2516152",0.00500300009405981,"Health Care",8056240,"USD",2021-02-23,200.309998,204.309998,198.679993,202.479996,3287700,202.479996
"117","LLY","Eli Lilly and Company","53245710","2516152",0.00500300009405981,"Health Care",8056240,"USD",2021-02-24,201.669998,206.460007,201.630005,204.520004,2848800,204.520004
"118","ACN","Accenture Plc Class A","G1151C10","B4BNMY3",0.00491712026410188,"Information Technology",6428605,"USD",2021-02-22,252.690002,254.169998,250.089996,252.630005,1476000,252.630005
"119","ACN","Accenture Plc Class A","G1151C10","B4BNMY3",0.00491712026410188,"Information Technology",6428605,"USD",2021-02-23,251.559998,257.929993,250.589996,256.190002,2191300,256.190002
"120","ACN","Accenture Plc Class A","G1151C10","B4BNMY3",0.00491712026410188,"Information Technology",6428605,"USD",2021-02-24,253.210007,260.470001,252.820007,259.269989,2476300,259.269989
"121","MDT","Medtronic Plc","G5960L10","BTN1Y11",0.00487522034706371,"Health Care",13657794,"USD",2021-02-22,112.769997,116.580002,112.580002,115.75,5808400,115.75
"122","MDT","Medtronic Plc","G5960L10","BTN1Y11",0.00487522034706371,"Health Care",13657794,"USD",2021-02-23,117.489998,119.75,116.5,118,5961400,118
"123","MDT","Medtronic Plc","G5960L10","BTN1Y11",0.00487522034706371,"Health Care",13657794,"USD",2021-02-24,118.040001,119.510002,117.769997,118.739998,6461900,118.739998
"124","WFC","Wells Fargo & Company","94974610","2649100",0.00482754044146993,"Financials",41952020,"USD",2021-02-22,37.669998,37.919998,37.099998,37.259998,34690000,37.259998
"125","WFC","Wells Fargo & Company","94974610","2649100",0.00482754044146993,"Financials",41952020,"USD",2021-02-23,37.59,37.77,36.599998,37.139999,36792500,37.139999
"126","WFC","Wells Fargo & Company","94974610","2649100",0.00482754044146993,"Financials",41952020,"USD",2021-02-24,37.240002,38.34,37.139999,38.290001,42764300,38.290001
"127","MCD","McDonald's Corporation","58013510","2550707",0.0047958905041368,"Consumer Discretionary",7560616,"USD",2021-02-22,211.5,213,209.690002,212.059998,2910800,210.763214
"128","MCD","McDonald's Corporation","58013510","2550707",0.0047958905041368,"Consumer Discretionary",7560616,"USD",2021-02-23,214.5,215.699997,210.429993,211.320007,3243000,210.02774
"129","MCD","McDonald's Corporation","58013510","2550707",0.0047958905041368,"Consumer Discretionary",7560616,"USD",2021-02-24,210.839996,214.100006,210.419998,213.270004,2887100,211.96582
"130","TXN","Texas Instruments Incorporated","88250810","2885409",0.00470872067673306,"Information Technology",9314342,"USD",2021-02-22,176,176.919998,172.679993,173.089996,4386900,173.089996
"131","TXN","Texas Instruments Incorporated","88250810","2885409",0.00470872067673306,"Information Technology",9314342,"USD",2021-02-23,174.169998,174.440002,168.509995,172.850006,6514400,172.850006
"132","TXN","Texas Instruments Incorporated","88250810","2885409",0.00470872067673306,"Information Technology",9314342,"USD",2021-02-24,171.630005,179.770004,170.570007,179.389999,5100500,179.389999
"133","C","Citigroup Inc.","17296742","2297907",0.0045668609576153,"Financials",21125290,"USD",2021-02-22,65.400002,66.900002,65.290001,65.519997,23120700,65.519997
"134","C","Citigroup Inc.","17296742","2297907",0.0045668609576153,"Financials",21125290,"USD",2021-02-23,65.589996,66.919998,64.860001,66.739998,26712100,66.739998
"135","C","Citigroup Inc.","17296742","2297907",0.0045668609576153,"Financials",21125290,"USD",2021-02-24,67.169998,68.68,67,68.599998,20752900,68.599998
"136","QCOM","Qualcomm Inc","74752510","2714923",0.00454174100735281,"Information Technology",11476111,"USD",2021-02-22,142.25,144.119995,139.080002,139.460007,12763900,138.798523
"137","QCOM","Qualcomm Inc","74752510","2714923",0.00454174100735281,"Information Technology",11476111,"USD",2021-02-23,136.380005,138.479996,134.440002,137.119995,14425300,136.46962
"138","QCOM","Qualcomm Inc","74752510","2714923",0.00454174100735281,"Information Technology",11476111,"USD",2021-02-24,136.399994,141.179993,135.089996,141.100006,13146200,140.43074
"139","HON","Honeywell International Inc.","43851610","2020459",0.00447439114070554,"Industrials",7119823,"USD",2021-02-22,203.039993,204.300003,202.419998,203.619995,2205300,202.722656
"140","HON","Honeywell International Inc.","43851610","2020459",0.00447439114070554,"Industrials",7119823,"USD",2021-02-23,205.009995,205.839996,202.970001,205.039993,2459300,204.136398
"141","HON","Honeywell International Inc.","43851610","2020459",0.00447439114070554,"Industrials",7119823,"USD",2021-02-24,204.889999,212.139999,203.5,211.029999,3341500,210.100006
"142","COST","Costco Wholesale Corporation","22160K10","2701271",0.00442323124200214,"Consumer Staples",4477105,"USD",2021-02-22,352.75,353.290009,348.820007,350.209991,2215600,350.209991
"143","COST","Costco Wholesale Corporation","22160K10","2701271",0.00442323124200214,"Consumer Staples",4477105,"USD",2021-02-23,349.799988,351,342.029999,342.149994,3692600,342.149994
"144","COST","Costco Wholesale Corporation","22160K10","2701271",0.00442323124200214,"Consumer Staples",4477105,"USD",2021-02-24,341.790009,342.5,337.890015,340.700012,3305800,340.700012
"145","NEE","NextEra Energy Inc.","65339F10","2328915",0.0043884013109654,"Utilities",19878364,"USD",2021-02-22,77.800003,77.940002,74.550003,75.099998,13190300,74.708
"146","NEE","NextEra Energy Inc.","65339F10","2328915",0.0043884013109654,"Utilities",19878364,"USD",2021-02-23,75,75,73.309998,74.709999,12719000,74.320038
"147","NEE","NextEra Energy Inc.","65339F10","2328915",0.0043884013109654,"Utilities",19878364,"USD",2021-02-24,74.830002,74.910004,73.330002,73.760002,12302200,73.375
"148","DHR","Danaher Corporation","23585110","2250870",0.0042594115663651,"Health Care",6415160,"USD",2021-02-22,231.699997,231.699997,225,225.5,3433400,225.5
"149","DHR","Danaher Corporation","23585110","2250870",0.0042594115663651,"Health Care",6415160,"USD",2021-02-23,225.350006,226.639999,222.860001,223.850006,2184400,223.850006
"150","DHR","Danaher Corporation","23585110","2250870",0.0042594115663651,"Health Care",6415160,"USD",2021-02-24,224.5,226.240005,222.5,223,2880600,223
"151","UNP","Union Pacific Corporation","90781810","2914734",0.00425774156967169,"Industrials",6837748,"USD",2021-02-22,207.139999,210.369995,206.679993,206.830002,2775900,205.879837
"152","UNP","Union Pacific Corporation","90781810","2914734",0.00425774156967169,"Industrials",6837748,"USD",2021-02-23,207.350006,208.080002,204.679993,206.960007,2677500,206.009247
"153","UNP","Union Pacific Corporation","90781810","2914734",0.00425774156967169,"Industrials",6837748,"USD",2021-02-24,206.350006,212.949997,205.470001,211.149994,2355200,210.179993
"154","BMY","Bristol-Myers Squibb Company","11012210","2126335",0.00421343165740532,"Health Care",22929300,"USD",2021-02-22,60.419998,61.240002,59.709999,60.990002,9916600,60.990002
"155","BMY","Bristol-Myers Squibb Company","11012210","2126335",0.00421343165740532,"Health Care",22929300,"USD",2021-02-23,61.200001,61.380001,60.029999,60.720001,13742000,60.720001
"156","BMY","Bristol-Myers Squibb Company","11012210","2126335",0.00421343165740532,"Health Care",22929300,"USD",2021-02-24,60.900002,62.919998,60.869999,62.59,16517900,62.59
"157","PM","Philip Morris International Inc.","71817210","B2PKRQ3",0.00414025180230143,"Consumer Staples",15801828,"USD",2021-02-22,85.160004,86.620003,84.739998,86.5,3525700,86.5
"158","PM","Philip Morris International Inc.","71817210","B2PKRQ3",0.00414025180230143,"Consumer Staples",15801828,"USD",2021-02-23,87.639999,87.75,86.160004,86.440002,4090300,86.440002
